Id,Name,Rating,Phone,Industry
0010o000030CIEYAA4,Alpha Fintech Ltd,Warm,,Apparel
0010o00002vi4QXAAY,Sombir Sheoran,,,
0010o00002KIY2JAAX,Edge Communications,Hot,(512) 757-6000,Electronics
0010o00002KIY2KAAX,Burlington Textiles Corp of America,Warm,(336) 222-7000,Apparel
0010o00002KIY2NAAX,Grand Hotels & Resorts Ltd,Warm,(312) 596-1000,Hospitality
0010o00002KIY2OAAX,United Oil & Gas Corp.,Hot,(212) 842-5500,Energy
0010o00002KIY2PAAX,Express Logistics and Transport,Cold,(503) 421-7800,Transportation
0010o00002KIY2QAAX,University of Arizona,Warm,(520) 773-9050,Education
0010o00002KIY2TAAX,GenePoint,Cold,(650) 867-3450,Biotechnology
0010o00002vmACuAAM,Amit Singh ðŸ‡®ðŸ‡³,,,
